act_n,dist_rank,genre_rank,direct_rank,네이버_기대지수,star_buzz,movie_buzz_naver,google_trend,Target
48,5,9,67,5028.0,599,25,552.0,1
77,8,3,67,371.0,427,8,2456.0,0
62,5,7,67,4100.0,1290,12,553.0,0
100,5,5,20,396.0,1725,26,0.0,0
108,8,13,75,2459.0,737,22,557.0,0
78,8,13,67,816.0,234,17,0.0,0
17,9,13,95,111.0,154,3,1189.0,0
7,8,15,67,130.0,657,3,1835.0,0
70,4,10,48,2078.0,1447,63,878.0,1
178,8,6,53,2285.0,1296,20,308.0,1
12,8,15,67,3819.0,105,17,355.0,1
89,8,13,67,254.0,62,1,1170.0,1
7,4,15,67,41.0,168,3,198.0,0
82,8,11,67,495.0,373,7,833.0,0
67,8,5,100,79.0,52,4,362.0,1
34,8,15,67,104.0,69,5,480.0,0
39,8,8,67,129.0,684,0,297.0,0
40,8,8,67,46.0,168,0,414.0,0
55,8,11,50,336.0,907,19,1177.0,1
38,8,15,67,726.0,112,8,345.0,1
79,3,7,14,5888.0,849,48,551.0,0
66,3,10,67,403.0,248,10,912.0,1
126,1,3,67,8022.0,1280,77,1351.0,1
70,8,8,67,946.0,649,11,461.0,1
207,3,13,67,2437.0,1677,43,773.0,1
115,3,13,37,1172.0,2010,41,519.0,1
99,4,13,67,599.0,1672,64,627.0,1
215,8,7,67,1987.0,2580,35,257.0,1
6,8,13,98,142.0,208,3,231.0,0
40,6,9,67,1987.0,375,32,468.0,0
70,8,8,67,972.0,160,17,829.0,0
44,4,5,67,5209.0,1053,74,1905.0,1
120,1,8,19,15767.0,1916,125,1445.0,1
2,8,15,97,140.0,77,4,0.0,0
54,2,3,67,3052.0,1860,173,0.0,1
52,6,15,67,109.0,41,10,282.0,0
65,7,13,87,1035.0,267,0,1844.0,1
86,3,3,29,28898.0,2940,90,686.0,1
6,8,8,101,73.0,23,5,1193.0,0
87,8,13,67,11575.0,405,67,399.0,0
13,8,13,64,1736.0,153,10,0.0,0
11,8,15,86,2297.0,112,8,437.0,0
37,3,8,67,25600.0,1801,104,2198.0,1
77,5,9,66,4353.0,331,65,631.0,1
3,8,15,67,429.0,15,2,0.0,0
165,8,13,67,481.0,108,8,327.0,0
319,3,5,6,97770.0,2775,166,528.0,1
108,8,5,25,13996.0,1944,113,595.0,1
55,3,10,67,6851.0,1098,79,550.0,1
19,3,10,85,1204.0,302,23,523.0,1
