,act_n,dist_rank,genre_rank,direct_rank,네이버_기대지수,star_buzz,movie_buzz_naver,google_trend,Target
88,115,3,13,37,1172.0,2010,41,519.0,1
89,99,4,13,67,599.0,1672,64,627.0,0
90,215,8,7,67,1987.0,2580,35,257.0,0
91,6,8,13,98,142.0,208,3,231.0,0
92,40,6,9,67,1987.0,375,32,468.0,0
93,70,8,8,67,972.0,160,17,829.0,0
94,44,4,5,67,5209.0,1053,74,1905.0,0
95,120,1,8,19,15767.0,1916,125,1445.0,1
96,2,8,15,97,140.0,77,4,0.0,0
97,54,2,3,67,3052.0,1860,173,0.0,0
98,52,6,15,67,109.0,41,10,282.0,0
99,65,7,13,87,1035.0,267,0,1844.0,0
100,86,3,3,29,28898.0,2940,90,686.0,0
101,6,8,8,101,73.0,23,5,1193.0,0
102,87,8,13,67,11575.0,405,67,399.0,0
103,13,8,13,64,1736.0,153,10,0.0,0
104,11,8,15,86,2297.0,112,8,437.0,0
105,37,3,8,67,25600.0,1801,104,2198.0,1
106,77,5,9,66,4353.0,331,65,631.0,1
107,3,8,15,67,429.0,15,2,0.0,0
108,165,8,13,67,481.0,108,8,327.0,0
109,319,3,5,6,97770.0,2775,166,528.0,0
110,108,8,5,25,13996.0,1944,113,595.0,1
111,55,3,10,67,6851.0,1098,79,550.0,0
112,19,3,10,85,1204.0,302,23,523.0,0
113,109,4,13,67,13233.0,980,170,387.0,0
114,93,1,10,51,8071.0,1014,97,504.0,0
115,66,8,13,59,8894.0,1241,68,1561.0,0
116,3,8,10,67,167.0,55,5,297.0,1
117,55,8,11,54,1993.0,867,56,0.0,0
118,74,8,7,67,758.0,127,15,414.0,0
119,119,1,8,62,6176.0,1444,113,631.0,1
120,14,3,13,67,440.0,77,7,743.0,0
121,15,8,11,67,212.0,22,2,0.0,0
122,184,5,13,67,7290.0,1980,120,626.0,0
123,73,8,13,67,173.0,18,12,196.0,0
124,60,8,14,47,6385.0,974,64,651.0,0
125,99,3,7,67,7164.0,1064,63,367.0,0
126,209,2,13,17,8338.0,1500,102,1588.0,0
127,180,3,5,67,25803.0,1979,41,154.0,0
128,77,2,12,67,5696.0,766,34,653.0,0
129,56,3,13,67,1217.0,388,27,787.0,0
130,44,6,13,90,1267.0,334,21,1776.0,0
131,60,8,3,67,1791.0,1064,80,444.0,0
132,88,7,13,46,26181.0,1795,46,774.0,1
133,119,3,4,67,35317.0,2168,144,627.0,1
134,6,8,15,67,71.0,1,0,0.0,0
135,116,3,2,10,8809.0,1864,70,550.0,0
136,15,8,15,67,193.0,359,3,0.0,0
137,97,5,9,38,4785.0,630,53,0.0,0
138,89,3,5,67,71.0,2197,80,1930.0,0
139,88,6,8,43,6377.0,927,47,518.0,1
140,91,1,3,22,9811.0,1397,45,461.0,1
141,129,4,6,67,8363.0,1802,99,861.0,0
142,65,8,5,67,1309.0,16,14,160.0,0
143,4,8,15,67,123.0,42,6,100.0,0
144,38,8,11,67,4178.0,212,24,896.0,1
145,69,8,13,37,1700.0,895,31,931.0,0
146,56,8,15,67,109.0,3,13,0.0,0
147,27,8,13,67,554.0,38,13,680.0,1
148,57,8,9,80,362.0,37,8,150.0,0
149,46,8,10,67,713.0,155,12,626.0,0
150,20,8,15,67,823.0,1080,11,0.0,1
151,198,4,5,24,16419.0,1363,79,0.0,1
152,4,7,15,83,10237.0,301,31,0.0,1
153,27,8,10,67,242.0,36,9,0.0,0
154,74,3,7,67,3971.0,749,47,249.0,0
155,110,3,13,88,1663.0,394,24,520.0,0
156,116,1,13,7,45603.0,2053,127,371.0,1
157,63,6,10,67,946.0,120,12,291.0,0
158,176,3,3,67,12267.0,1323,47,397.0,0
159,40,4,13,48,7978.0,1309,8,1738.0,0
160,128,8,13,67,42.0,67,2,0.0,0
161,7,8,13,67,189.0,110,3,1920.0,0
162,103,5,7,67,2304.0,577,13,1990.0,0
163,57,6,13,91,204.0,170,2,669.0,0
164,69,1,8,67,254.0,1304,79,450.0,0
165,154,1,2,22,1314.0,1148,68,571.0,0
166,58,1,8,27,19537.0,1446,8,427.0,0
167,72,1,8,75,12491.0,330,10,863.0,0
168,36,3,3,67,15676.0,1010,0,440.0,0
169,222,4,13,11,7445.0,2430,15,0.0,0
170,52,8,13,96,298.0,57,4,0.0,0
171,83,8,8,74,3502.0,369,5,393.0,0
172,64,3,8,67,192.0,256,5,759.0,0
173,110,8,8,52,3249.0,365,5,612.0,0
174,61,3,8,67,4064.0,313,3,0.0,0
175,129,3,1,67,20285.0,1980,0,673.0,0
176,31,8,16,67,55.0,711,2,1637.0,0
177,112,8,8,67,92.0,156,3,0.0,0
178,50,4,5,6,5499.0,1592,10,621.0,0
179,95,3,13,67,20569.0,1954,11,374.0,0
180,11,8,8,67,2026.0,385,2,0.0,0
181,90,5,2,67,552.0,1592,39,338.0,0
182,60,8,3,67,585.0,210,3,0.0,0
183,128,2,13,39,0.0,1117,167,486.0,1
184,34,8,13,67,226.0,155,2,211.0,0
185,10,8,13,94,284.0,142,7,341.0,0
186,67,2,5,67,7337.0,811,9,671.0,0
187,9,9,15,67,83.0,86,2,195.0,0
188,162,3,3,33,589.0,2370,14,0.0,1
189,130,5,6,65,5051.0,1288,9,0.0,0
190,57,7,13,67,155.0,306,7,599.0,1
191,147,8,13,67,1312.0,188,3,981.0,0
192,187,6,2,64,0.0,895,2,746.0,0
193,113,4,8,67,3631.0,1493,8,1149.0,0
194,103,8,12,67,223.0,109,2,0.0,0
195,29,8,13,67,100.0,38,1,0.0,0
196,101,8,13,67,5618.0,739,21,963.0,0
197,46,2,13,81,1501.0,246,13,684.0,0
198,53,8,9,67,2544.0,496,6,410.0,0
199,13,4,1,60,9031.0,2329,19,0.0,0
200,29,6,9,90,1272.0,534,9,410.0,0
201,68,8,14,67,948.0,170,2,0.0,0
202,119,3,3,67,3182.0,935,11,0.0,0
203,64,8,13,67,263.0,175,2,0.0,0
204,19,3,7,67,6563.0,638,8,815.0,0
205,69,6,13,67,1549.0,638,27,0.0,0
206,146,6,14,67,212.0,133,6,683.0,0
207,45,2,13,56,346.0,986,27,519.0,0
208,28,8,12,100,238.0,149,4,0.0,0
209,7,8,8,67,176.0,77,1,0.0,0
210,60,8,7,67,3740.0,274,3,567.0,0
211,142,2,5,12,32567.0,1535,26,707.0,0
212,97,8,13,67,529.0,196,6,0.0,0
213,55,8,13,67,394.0,21,0,100.0,0
214,41,8,13,92,12.0,9,0,100.0,0
215,91,5,2,40,3310.0,895,12,714.0,0
216,102,6,13,9,2366.0,1358,17,593.0,0
217,24,8,13,67,66.0,53,1,0.0,0
218,80,4,13,63,7023.0,2550,11,501.0,0
219,114,4,13,87,149.0,334,3,1845.0,0
220,88,8,8,67,364.0,183,4,607.0,0
221,71,8,13,67,6242.0,726,5,506.0,1
222,4,2,15,67,418.0,259,6,0.0,0
223,269,8,3,67,1187.0,104,159,599.0,0
224,103,4,2,35,5663.0,838,19,0.0,0
225,95,3,13,67,25520.0,549,5,2077.0,1
226,11,3,9,67,1714.0,846,6,625.0,0
227,106,8,3,31,8614.0,1018,30,290.0,0
228,80,2,8,19,618.0,3150,31,0.0,0
229,22,8,15,99,31.0,22,0,0.0,0
230,153,8,13,67,1373.0,451,3,0.0,0
231,1,8,15,67,158.0,12,12,1413.0,1
232,105,4,13,67,217.0,677,16,628.0,0
233,70,8,3,67,3455.0,590,21,421.0,0
234,88,3,10,68,551.0,959,16,297.0,0
