,act_n,dist_rank,genre_rank,direct_rank,네이버_기대지수,star_buzz,movie_buzz_naver,google_trend,Target
548,33,3,13,67,606.0,137,31,190.0,0
549,59,2,8,13,27413.0,2084,193,865.0,1
550,3,8,10,92,430.0,161,10,586.0,0
551,115,1,5,1,20846.0,2733,225,1726.0,1
552,338,1,5,44,21361.0,1860,137,353.0,0
553,32,5,14,95,1766.0,411,31,976.0,0
554,80,6,8,67,2529.0,528,34,646.0,0
555,102,8,13,58,0.0,659,139,513.0,1
556,132,6,13,93,194.0,210,46,1162.0,0
557,10,8,8,67,75.0,2,0,1924.0,0
558,133,3,10,67,15600.0,1637,165,514.0,0
559,29,3,7,67,5302.0,628,45,846.0,1
560,29,3,15,67,8651.0,1572,55,0.0,1
561,86,4,13,67,2953.0,1158,174,417.0,0
562,6,8,9,67,50.0,19,4,0.0,0
563,56,3,10,86,0.0,339,0,1871.0,0
564,2,8,13,67,111.0,91,15,914.0,0
565,91,8,8,67,633.0,292,34,337.0,1
566,6,9,13,67,236.0,124,13,294.0,0
567,46,8,8,67,202.0,20,0,493.0,0
568,58,3,7,67,21671.0,2589,131,744.0,0
569,103,3,3,73,1932.0,772,131,487.0,1
570,73,3,13,5,13693.0,1987,219,947.0,1
571,70,2,13,72,10731.0,1196,124,886.0,0
572,148,4,1,5,4941.0,1413,379,0.0,1
573,32,7,8,100,247.0,147,25,459.0,0
574,295,3,13,67,13877.0,1830,61,2593.0,1
