movie_buzz_naver
22
19
30
6
5
5
2
10
7
18
38
6
39
18
0
10
86
2
14
20
64
5
49
6
28
25
74
48
93
15
8
15
44
18
18
10
77
2
12
23
6
5
41
37
25
5
374
19
7
39
0
5
14
10
18
6
40
21
8
25
28
0
14
25
8
12
26
22
17
3
3
63
20
17
1
3
7
4
5
0
0
19
8
48
10
77
11
43
41
64
35
3
32
17
74
125
4
173
10
0
90
5
67
10
8
104
65
2
8
166
113
79
23
170
97
68
5
56
15
113
7
2
120
12
64
63
102
41
34
27
21
80
46
144
0
70
3
53
80
47
45
99
14
6
24
31
13
13
8
12
11
79
31
9
47
24
127
12
47
8
2
3
13
2
79
68
8
10
0
15
4
5
5
5
3
0
2
3
10
11
2
39
3
167
2
7
9
2
14
9
7
3
2
8
2
1
21
13
6
19
9
2
11
2
8
27
6
27
4
1
3
26
6
0
0
12
17
1
11
3
4
5
6
159
19
5
6
30
31
0
3
12
16
21
16
43
126
31
13
2
22
29
36
11
19
0
57
13
55
1
16
7
20
52
39
86
7
5
5
6
184
26
0
46
3
25
21
34
1
85
24
38
2
66
15
3
4
7
68
9
24
2
61
0
12
3
85
41
43
108
3
19
6
4
7
2
6
6
5
6
14
5
150
1
43
4
5
16
3
13
39
4
39
53
7
44
100
14
14
0
10
8
2
35
1
22
23
14
7
6
38
0
28
8
5
131
83
62
176
46
4
9
429
61
86
2
33
62
42
72
142
4
256
52
63
80
75
76
132
184
90
267
171
77
9
211
33
240
12
118
6
54
151
37
41
73
2
88
92
138
92
11
168
44
43
2
92
4
13
20
6
2
6
85
36
132
8
124
101
10
25
154
74
15
323
11
305
24
177
1
299
54
38
57
175
9
77
2
102
25
173
10
38
8
0
19
103
107
76
223
433
31
67
27
64
39
29
131
74
124
210
0
72
0
86
21
42
0
85
116
159
132
27
92
339
172
94
224
188
136
60
7
157
17
83
158
278
15
140
0
78
9
0
43
173
10
79
195
1
135
55
7
160
63
148
209
50
57
198
11
310
8
4
51
135
23
101
37
4
119
29
265
230
10
4
7
97
174
5
91
201
138
64
107
75
129
131
108
25
2
51
34
232
93
127
103
4
19
192
4
265
42
7
1
66
7
80
14
70
71
34
4
51
45
318
146
325
11
31
193
10
225
137
31
34
139
46
0
165
45
55
174
4
0
15
34
13
0
131
131
219
124
379
25
61
