네이버_기대지수,star_buzz,movie_buzz_naver,Target,act_n,dist_rank,genre_rank,direct_rank
19537.0,1446,8,1,58,1,8,27
12491.0,330,10,0,72,1,8,75
15676.0,1010,0,1,36,3,3,67
7445.0,2430,15,1,222,4,13,11
298.0,57,4,0,52,8,13,96
3502.0,369,5,0,83,8,8,74
192.0,256,5,0,64,3,8,67
3249.0,365,5,0,110,8,8,52
4064.0,313,3,0,61,3,8,67
20285.0,1980,0,1,129,3,1,67
55.0,711,2,0,31,8,16,67
92.0,156,3,0,112,8,8,67
5499.0,1592,10,0,50,4,5,6
20569.0,1954,11,0,95,3,13,67
2026.0,385,2,0,11,8,8,67
552.0,1592,39,0,90,5,2,67
585.0,210,3,0,60,8,3,67
0.0,1117,167,1,128,2,13,39
226.0,155,2,0,34,8,13,67
284.0,142,7,1,10,8,13,94
7337.0,811,9,1,67,2,5,67
83.0,86,2,0,9,9,15,67
589.0,2370,14,1,162,3,3,33
5051.0,1288,9,0,130,5,6,65
155.0,306,7,1,57,7,13,67
1312.0,188,3,0,147,8,13,67
0.0,895,2,0,187,6,2,64
3631.0,1493,8,1,113,4,8,67
223.0,109,2,0,103,8,12,67
100.0,38,1,0,29,8,13,67
5618.0,739,21,1,101,8,13,67
1501.0,246,13,1,46,2,13,81
2544.0,496,6,1,53,8,9,67
9031.0,2329,19,0,13,4,1,60
1272.0,534,9,0,29,6,9,90
948.0,170,2,0,68,8,14,67
3182.0,935,11,1,119,3,3,67
263.0,175,2,0,64,8,13,67
6563.0,638,8,1,19,3,7,67
1549.0,638,27,0,69,6,13,67
212.0,133,6,0,146,6,14,67
346.0,986,27,1,45,2,13,56
238.0,149,4,0,28,8,12,100
176.0,77,1,0,7,8,8,67
3740.0,274,3,0,60,8,7,67
32567.0,1535,26,1,142,2,5,12
529.0,196,6,0,97,8,13,67
394.0,21,0,0,55,8,13,67
12.0,9,0,0,41,8,13,92
3310.0,895,12,0,91,5,2,40
2366.0,1358,17,0,102,6,13,9
66.0,53,1,0,24,8,13,67
7023.0,2550,11,1,80,4,13,63
149.0,334,3,1,114,4,13,87
364.0,183,4,0,88,8,8,67
6242.0,726,5,1,71,8,13,67
418.0,259,6,0,4,2,15,67
1187.0,104,159,0,269,8,3,67
5663.0,838,19,1,103,4,2,35
25520.0,549,5,1,95,3,13,67
1714.0,846,6,1,11,3,9,67
8614.0,1018,30,1,106,8,3,31
618.0,3150,31,1,80,2,8,19
31.0,22,0,0,22,8,15,99
1373.0,451,3,1,153,8,13,67
158.0,12,12,1,1,8,15,67
217.0,677,16,0,105,4,13,67
3455.0,590,21,0,70,8,3,67
551.0,959,16,1,88,3,10,68
3962.0,702,43,0,114,2,3,67
4085.0,1165,126,0,135,4,4,67
4301.0,1470,31,0,117,2,13,12
1324.0,163,13,0,67,8,3,67
483.0,786,2,1,49,2,10,67
946.0,1201,22,1,81,3,3,67
1598.0,1397,29,1,87,3,5,23
3484.0,1100,36,0,112,5,8,67
2516.0,1530,11,1,14,2,13,67
690.0,916,19,1,46,6,13,67
295.0,111,0,0,5,8,15,89
17679.0,1472,57,1,171,2,3,8
5381.0,861,13,0,90,3,13,68
1312.0,1146,55,0,152,8,13,67
113.0,49,1,0,39,8,13,101
150.0,427,16,0,54,8,13,67
2434.0,791,7,1,116,8,3,39
5632.0,1035,20,0,22,5,13,57
484.0,1638,52,1,93,4,13,36
868.0,771,39,1,117,3,8,67
9879.0,1912,86,1,59,3,5,18
145.0,179,7,0,17,8,15,89
150.0,54,5,0,34,8,13,67
264.0,161,5,0,77,6,13,67
585.0,282,6,0,66,8,13,67
57304.0,3150,184,1,93,4,6,4
2648.0,640,26,0,68,8,8,67
5965.0,1164,0,1,156,2,5,11
7814.0,714,46,1,26,2,9,67
145.0,288,3,0,25,8,9,67
802.0,1028,25,0,111,3,7,82
754.0,1347,21,0,117,4,9,24
2929.0,815,34,0,156,8,13,67
283.0,84,1,0,2,8,15,67
2468.0,2703,85,1,223,2,2,28
517.0,933,24,1,100,8,3,45
