screenCnt,Target,act_n,dist_rank,genre_rank,등급_12세관람가,등급_12세이상관람가,등급_15세이상관람가,등급_전체관람가,등급_청소년관람불가,cont_rank
276,11,1.791759469228055,43,8,0,0,0,1,0,2
609,11,1.791759469228055,8,5,0,0,0,1,0,2
35,11,1.791759469228055,28,11,0,0,1,0,0,5
1,11,2.3978952727983707,71,13,0,0,0,0,1,1
1,11,1.9459101490553132,101,4,0,0,0,0,1,2
1,11,1.0986122886681098,92,4,0,0,0,0,1,2
5,11,1.791759469228055,91,4,0,1,0,0,0,16
5,11,1.9459101490553132,71,11,0,0,1,0,0,19
20,11,2.6390573296152584,46,18,0,0,0,1,0,1
18,11,3.295836866004329,55,18,0,1,0,0,0,1
1,11,1.791759469228055,101,15,0,0,0,0,1,2
167,11,1.791759469228055,34,15,0,0,1,0,0,11
544,11,3.8918202981106265,11,11,0,0,0,1,0,1
162,11,2.302585092994046,88,8,0,0,0,1,0,18
833,10,5.117993812416755,8,3,0,0,1,0,0,1
860,11,5.159055299214529,8,3,0,0,0,0,1,1
1,11,2.1972245773362196,78,4,0,0,0,0,1,2
36,11,4.718498871295094,58,11,0,0,1,0,0,1
35,11,2.0794415416798357,28,11,0,0,1,0,0,11
1016,10,1.791759469228055,7,4,0,1,0,0,0,2
15,11,3.2188758248682006,58,11,0,0,0,0,1,1
536,11,1.9459101490553132,2,2,0,0,0,1,0,2
53,11,2.302585092994046,8,18,0,0,0,1,0,1
16,11,4.02535169073515,71,11,0,1,0,0,0,1
1,11,1.6094379124341003,71,9,0,1,0,0,0,24
56,11,1.791759469228055,71,4,0,0,1,0,0,24
739,11,4.465908118654584,8,9,0,0,0,0,1,1
149,11,2.302585092994046,34,4,0,1,0,0,0,2
1,11,1.0986122886681098,99,6,0,0,0,0,1,2
797,11,2.3978952727983707,2,16,0,0,0,1,0,2
39,11,3.912023005428146,30,18,0,0,0,1,0,1
488,11,2.833213344056216,20,15,0,0,1,0,0,1
37,11,2.0794415416798357,65,13,0,0,1,0,0,6
1,11,1.0986122886681098,92,6,0,0,1,0,0,2
1,11,1.9459101490553132,90,6,0,0,1,0,0,20
43,11,1.791759469228055,71,8,0,1,0,0,0,6
1,11,2.0794415416798357,47,11,0,0,1,0,0,11
85,11,2.0794415416798357,20,8,0,0,0,1,0,6
629,11,3.828641396489095,7,7,0,0,1,0,0,1
16,11,2.0794415416798357,48,4,0,0,1,0,0,11
1,11,1.791759469228055,88,12,0,1,0,0,0,15
64,11,1.9459101490553132,19,11,0,1,0,0,0,2
35,11,1.0986122886681098,59,18,0,1,0,0,0,11
21,11,2.5649493574615367,53,11,0,1,0,0,0,1
314,11,2.5649493574615367,18,8,0,0,0,1,0,1
1,11,1.791759469228055,71,4,0,0,0,0,1,2
1,11,1.791759469228055,89,4,0,0,1,0,0,2
10,11,1.791759469228055,87,4,0,0,1,0,0,2
1138,11,2.0794415416798357,2,8,0,0,0,1,0,2
862,8,4.634728988229636,8,7,0,1,0,0,0,1
9,11,2.1972245773362196,48,12,0,0,1,0,0,4
1176,9,4.564348191467836,11,11,0,1,0,0,0,1
5,11,0.6931471805599453,91,4,0,0,1,0,0,16
61,11,2.0794415416798357,71,11,0,1,0,0,0,5
933,10,2.0794415416798357,9,8,0,0,0,1,0,2
935,9,4.382026634673881,8,11,0,0,1,0,0,1
37,11,1.9459101490553132,53,11,0,1,0,0,0,18
15,11,2.0794415416798357,11,19,0,0,1,0,0,2
1,11,1.791759469228055,92,4,0,0,1,0,0,2
16,11,3.7612001156935624,71,11,0,0,1,0,0,1
83,11,3.9512437185814275,40,11,0,0,1,0,0,1
1,11,1.791759469228055,86,4,0,0,0,0,1,15
754,11,1.791759469228055,2,11,0,1,0,0,0,2
436,11,5.1647859739235145,11,7,0,0,1,0,0,1
10,11,2.0794415416798357,71,4,0,0,1,0,0,16
226,11,1.791759469228055,33,8,0,0,0,1,0,18
5,11,1.0986122886681098,90,4,0,0,1,0,0,20
457,11,2.1972245773362196,71,11,0,0,1,0,0,2
480,11,4.820281565605037,71,11,0,1,0,0,0,1
252,11,1.3862943611198906,34,8,0,0,0,1,0,18
17,11,3.8918202981106265,57,4,0,0,1,0,0,1
34,11,3.2188758248682006,58,11,0,1,0,0,0,1
191,11,2.1972245773362196,40,8,0,0,0,1,0,16
631,11,2.8903717578961645,25,8,0,0,0,1,0,6
11,11,1.9459101490553132,48,7,0,0,1,0,0,2
73,11,1.791759469228055,71,18,0,0,1,0,0,2
6,11,4.477336814478207,71,9,0,0,0,0,1,1
1,11,1.791759469228055,92,2,0,0,1,0,0,2
22,11,4.430816798843313,71,11,0,0,0,0,1,1
83,11,4.584967478670572,37,13,0,0,1,0,0,1
1315,5,4.290459441148391,11,3,0,0,0,0,1,1
54,11,3.713572066704308,43,11,0,1,0,0,0,1
611,11,3.6375861597263857,30,18,0,0,1,0,0,1
28,11,3.1780538303479458,58,11,0,0,1,0,0,1
309,11,2.70805020110221,43,16,0,0,0,1,0,1
1,11,1.791759469228055,71,15,0,0,1,0,0,2
202,11,1.9459101490553132,13,8,0,0,0,1,0,6
102,11,2.833213344056216,37,18,0,0,0,1,0,1
26,11,0.6931471805599453,38,18,0,0,0,1,0,2
1,11,1.6094379124341003,91,4,0,0,1,0,0,2
6,11,1.9459101490553132,43,4,0,0,1,0,0,18
1,11,2.0794415416798357,71,6,0,0,1,0,0,18
565,11,4.454347296253507,6,10,0,0,1,0,0,1
353,11,1.9459101490553132,21,8,0,0,0,1,0,2
5,11,1.9459101490553132,96,7,0,1,0,0,0,2
49,11,2.1972245773362196,58,11,0,1,0,0,0,1
5,11,3.2188758248682006,67,4,0,0,0,0,1,1
27,11,2.302585092994046,38,2,0,0,1,0,0,5
167,11,1.791759469228055,21,9,0,0,1,0,0,2
45,11,1.9459101490553132,30,18,0,0,1,0,0,5
124,11,2.0794415416798357,40,8,0,0,0,1,0,6
326,11,2.3978952727983707,13,4,0,0,0,1,0,6
5,11,1.791759469228055,90,4,0,0,1,0,0,16
1,11,1.9459101490553132,88,7,0,0,1,0,0,17
1,11,1.0986122886681098,99,4,0,0,1,0,0,13
1313,6,3.4011973816621555,7,11,0,0,1,0,0,1
1,11,2.70805020110221,85,11,0,1,0,0,0,1
51,11,3.4965075614664802,20,11,0,0,1,0,0,1
536,11,2.0794415416798357,9,15,0,0,0,0,1,2
43,11,1.791759469228055,71,11,0,1,0,0,0,2
65,11,1.9459101490553132,53,13,0,0,1,0,0,27
155,11,1.9459101490553132,41,8,0,0,0,1,0,6
923,11,2.0794415416798357,4,4,0,1,0,0,0,2
71,11,2.0794415416798357,43,11,0,0,0,1,0,6
1357,6,4.718498871295094,6,3,0,0,1,0,0,1
1601,9,2.3978952727983707,4,5,0,1,0,0,0,2
181,11,3.7376696182833684,71,18,0,0,0,1,0,1
11,11,1.0986122886681098,7,18,0,0,0,1,0,2
942,9,4.31748811353631,8,1,0,1,0,0,0,1
37,11,2.0794415416798357,34,11,0,0,1,0,0,2
779,6,2.0794415416798357,6,10,0,0,1,0,0,1
1,11,1.791759469228055,86,4,0,0,1,0,0,5
1,11,2.0794415416798357,96,5,0,0,0,1,0,2
5,11,1.9459101490553132,71,15,0,0,1,0,0,6
26,11,5.147494476813453,38,11,0,1,0,0,0,1
564,11,1.9459101490553132,7,15,0,0,1,0,0,2
1148,11,2.302585092994046,4,4,0,1,0,0,0,2
292,11,2.1972245773362196,33,8,0,0,0,1,0,15
1,11,1.9459101490553132,57,5,0,1,0,0,0,16
1,11,1.791759469228055,89,4,0,0,1,0,0,2
824,10,1.9459101490553132,4,15,0,0,1,0,0,2
